Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Omaha 8,$ 1000.00,$ 1530.00,$ 530.00,Sun Jul 12 22:43:00 CDT 2015,Mon Jul 13 01:20:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,305,Limit Holdem,20/40,none
Bellagio 20 40,$ 1530.00,$ 2077.00,$ 547.00,Mon Jul 13 01:44:00 CDT 2015,Mon Jul 13 03:01:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,306,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1200.00,$ 200.00,Mon Jul 13 16:36:00 CDT 2015,Mon Jul 13 17:29:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,307,Limit Holdem,20/40,none
Omaha 8,$ 1200.00,$ 1739.00,$ 539.00,Mon Jul 13 17:48:00 CDT 2015,Mon Jul 13 21:00:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,308,Limit Holdem,20/40,none
Bellagio 20 40,$ 2500.00,$ 1131.00,$ -1369.00,Tue Jul 14 13:13:00 CDT 2015,Tue Jul 14 18:13:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,309,Limit Holdem,20/40,none
Omaha 8,$ 2000.00,$ 1365.00,$ -635.00,Sun Aug 09 18:23:00 CDT 2015,Mon Aug 10 03:23:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,310,Limit Holdem,20/40,none
Bellagio 20 40,$ 1700.00,$ 1815.00,$ 115.00,Mon Aug 10 17:36:00 CDT 2015,Tue Aug 11 02:36:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,311,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2700.00,$ 1700.00,Tue Aug 11 17:59:00 CDT 2015,Tue Aug 11 20:59:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,312,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1709.00,$ 709.00,Wed Aug 12 19:26:00 CDT 2015,Wed Aug 12 21:26:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,313,Limit Holdem,20/40,none
Bellagio 20 40,$ 3500.00,$ 1855.00,$ -1645.00,Mon Aug 17 18:33:00 CDT 2015,Tue Aug 18 10:33:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,314,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 1500.00,$ -1500.00,Wed Dec 16 16:45:00 CST 2015,Thu Dec 17 04:45:00 CST 2015,Bellagio,-,cashgame,20/40,-,-,,315,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2100.00,$ 1100.00,Thu Dec 17 17:47:00 CST 2015,Fri Dec 18 13:47:00 CST 2015,Bellagio,-,cashgame,20/40,-,-,,316,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 4506.00,$ 3506.00,Sat Dec 19 00:48:00 CST 2015,Sat Dec 19 07:00:00 CST 2015,Bellagio,-,cashgame,20/40,-,-,,317,Limit Holdem,20/40,none
Omaha 8,$ 4000.00,$ 2121.00,$ -1879.00,Sat Dec 19 17:36:00 CST 2015,Sun Dec 20 07:36:00 CST 2015,Bellagio,-,cashgame,20/40,-,-,,318,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2930.00,$ 1930.00,Sun Dec 20 16:52:00 CST 2015,Mon Dec 21 00:52:00 CST 2015,Bellagio,-,cashgame,20/40,-,-,,319,Limit Holdem,20/40,none
bossier 20 40,$ 1000.00,$ 1515.00,$ 515.00,Thu Jan 07 20:41:00 CST 2016,Fri Jan 08 00:41:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,320,Limit Holdem,20/40,none
bossier 20 40,$ 1000.00,$ 2197.00,$ 1197.00,Fri Jan 08 10:31:00 CST 2016,Fri Jan 08 22:31:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,321,Limit Holdem,20/40,none
bossier 20 40,$ 1000.00,$ 1260.00,$ 260.00,Sat Jan 09 10:20:00 CST 2016,Sat Jan 09 11:20:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,322,Limit Holdem,20/40,none
bossier city 1 3,$ 1060.00,$ 1338.00,$ 278.00,Sat Jan 09 13:48:00 CST 2016,Sun Jan 10 07:30:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,1 3,-,-,,323,No-Limit Holdem,1/3,none
bossier city 1 3,$ 1800.00,$ 693.00,$ -1107.00,Sun Jan 10 12:33:00 CST 2016,Sun Jan 10 23:33:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,1 3,-,-,,324,No-Limit Holdem,1/3,none
bossier 20 40,$ 2000.00,$ 3096.00,$ 1096.00,Thu Jan 21 13:30:00 CST 2016,Fri Jan 22 01:30:00 CST 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,325,Limit Holdem,20/40,none
